symbol,strategy,seed,pnl_ngn,final_inv_lots,max_abs_inv_lots,inv_std_lots,fill_events,filled_shares,buy_shares,sell_shares,quotes_posted,engine_trades,market_orders,reconciled
OANDO,avellaneda_stoikov,28,284334,-2.1594,5.3781,1.37181,607,3.76492e+06,1.87166e+06,1.89326e+06,6240,981,737,1
OANDO,baseline,29,206027,-1.9458,9.9485,1.87758,391,2.45775e+06,1.21915e+06,1.23860e+06,6240,918,729,1
OANDO,avellaneda_stoikov,29,314278,-9.516,9.9091,1.80027,581,3.66723e+06,1.78603e+06,1.88119e+06,6240,986,729,1
OANDO,baseline,30,142459,-6.348,9.6349,2.23948,344,2.08948e+06,1.013e+06,1.07648e+06,6240,872,713,1
OANDO,avellaneda_stoikov,30,262189,-0.2024,7.3609,1.55645,562,3.46237e+06,1.73018e+06,1.7322e+06,6240,947,713,1
OANDO,baseline,31,41350.1,3.8574,10.6841,2.53298,362,2.29038e+06,1.16448e+06,1.12590e+06,6240,881,716,1
OANDO,avellaneda_stoikov,31,250621,0.7791,5.3865,1.5728,580,3.5765e+06,1.79215e+06,1.78436e+06,6240,946,716,1
OANDO,baseline,32,126629,2.4131,8.8908,3.03369,330,2.12788e+06,1.07601e+06,1.05188e+06,6240,862,707,1
OANDO,avellaneda_stoikov,32,259671,-8.1079,9.8495,2.02214,553,3.51294e+06,1.71593e+06,1.79701e+06,6240,939,707,1
OANDO,baseline,33,170281,-11.0635,13.1781,3.99717,339,2.06451e+06,976939,1.08757e+06,6240,836,701,1
OANDO,avellaneda_stoikov,33,232452,1.673,8.5275,1.93854,556,3.44783e+06,1.73228e+06,1.71555e+06,6240,913,701,1
OANDO,baseline,34,123822,0.4601,7.3598,1.96253,325,2.16212e+06,1.08336e+06,1.07876e+06,6240,860,701,1
OANDO,avellaneda_stoikov,34,253840,3.4321,5.3835,1.85463,550,3.56759e+06,1.80096e+06,1.76664e+06,6240,935,701,1
OANDO,baseline,35,141127,-3.6023,4.1049,1.55079,322,1.97367e+06,968824,1.00485e+06,6240,809,666,1
OANDO,avellaneda_stoikov,35,186065,-13.9277,14.5321,3.25916,510,3.12144e+06,1.49108e+06,1.63036e+06,6240,873,666,1
OANDO,baseline,36,176562,2.3342,4.4401,1.68738,365,2.31376e+06,1.16855e+06,1.14521e+06,6240,929,758,1
OANDO,avellaneda_stoikov,36,276475,7.4603,7.4603,1.83785,600,3.81456e+06,1.94458e+06,1.86998e+06,6240,1020,758,1
OANDO,baseline,37,205357,-3.4514,6.1239,2.31656,359,2.2765e+06,1.12099e+06,1.15550e+06,6240,885,717,1
OANDO,avellaneda_stoikov,37,262281,-3.3493,6.1219,1.5993,568,3.63699e+06,1.80175e+06,1.83524e+06,6240,956,717,1
OANDO,baseline,38,115973,8.1218,10.9762,4.45814,379,2.20257e+06,1.1419e+06,1.06068e+06,6240,899,731,1
OANDO,avellaneda_stoikov,38,276730,-2.3258,6.3498,1.46954,590,3.54745e+06,1.7621e+06,1.78536e+06,6240,974,731,1
OANDO,baseline,39,143470,-6.3254,9.0372,2.29698,343,2.15304e+06,1.04489e+06,1.10815e+06,6240,842,688,1
OANDO,avellaneda_stoikov,39,258302,5.3224,5.3224,1.44154,535,3.26032e+06,1.65677e+06,1.60355e+06,6240,896,688,1
OANDO,baseline,40,164307,5.6326,6.853,2.61019,346,2.24743e+06,1.15188e+06,1.09555e+06,6240,886,722,1
OANDO,avellaneda_stoikov,40,300893,5.8729,7.0933,1.54284,576,3.68102e+06,1.86987e+06,1.81114e+06,6240,959,722,1
OANDO,baseline,41,109719,1.1474,5.7181,2.83745,342,2.21594e+06,1.11371e+06,1.10223e+06,6240,832,667,1
OANDO,avellaneda_stoikov,41,235987,12.038,12.7458,2.8361,530,3.40749e+06,1.76393e+06,1.64355e+06,6240,898,667,1
OANDO,baseline,42,114165,-2.1707,11.181,2.74926,349,2.11247e+06,1.04538e+06,1.06709e+06,6240,874,724,1
OANDO,avellaneda_stoikov,42,258765,7.0696,7.7401,2.11624,570,3.52932e+06,1.80001e+06,1.72931e+06,6240,962,724,1
OANDO,baseline,43,124186,4.615,8.441,2.43266,394,2.42929e+06,1.23772e+06,1.19157e+06,6240,925,745,1
OANDO,avellaneda_stoikov,43,295121,7.3964,8.9287,2.50891,600,3.70643e+06,1.8902e+06,1.81623e+06,6240,984,745,1
